t,cmd_thr,cmd_r,cmd_p,cmd_y,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wr,wp,wy
4.8171,0.7,0.0,0.0,0.0,-21.86003875732422,0.009130858816206455,-35.50540542602539,6.152102470397949,-0.012765508145093918,-25.453575134277344,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-3.939216506698533e-15,5.631700618000113e-13,2.4413732483113265e-14
4.8273,0.7,0.0,0.0,0.0,-21.988319396972656,0.009189452975988388,-35.71501541137695,6.187228202819824,-0.01284229289740324,-25.580839157104492,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.959032199969849e-15,2.8007281281487717e-13,1.8294900303353866e-14
4.8375,0.7,0.0,0.0,0.0,-22.451522827148438,0.009384765289723873,-36.47174072265625,6.2036237716674805,-0.012877564877271652,-25.638240814208984,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-1.4013529072776695e-15,2.0034405449724513e-13,1.5948153171338464e-14
4.8477,0.7,0.0,0.0,0.0,-22.774843215942383,0.009531250223517418,-36.99965286254883,6.225187301635742,-0.012923398986458778,-25.711763381958008,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-9.003765411735344e-16,1.2872202490108592e-13,1.3294027947159844e-14
4.858,0.7,0.0,0.0,0.0,-22.774843215942383,0.009531250223517418,-36.99965286254883,6.225187301635742,-0.012923398986458778,-25.711763381958008,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-9.003765411735344e-16,1.2872202490108592e-13,1.3294027947159844e-14
4.8682,0.7,0.0,0.0,0.0,-22.774843215942383,0.009531250223517418,-36.99965286254883,6.225187301635742,-0.012923398986458778,-25.711763381958008,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-9.003765411735344e-16,1.2872202490108592e-13,1.3294027947159844e-14
4.8782,0.7,0.0,0.0,0.0,-22.774843215942383,0.009531250223517418,-36.99965286254883,6.225187301635742,-0.012923398986458778,-25.711763381958008,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-9.003765411735344e-16,1.2872202490108592e-13,1.3294027947159844e-14
4.8887,0.7,0.0,0.0,0.0,-22.906171798706055,0.009589843451976776,-37.21403884887695,6.2588043212890625,-0.012993618845939636,-25.821992874145508,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-4.488294179811345e-16,6.416662855354346e-14,9.971264231781098e-15
4.8988,0.7,0.0,0.0,0.0,-22.906171798706055,0.009589843451976776,-37.21403884887695,6.2588043212890625,-0.012993618845939636,-25.821992874145508,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-4.488294179811345e-16,6.416662855354346e-14,9.971264231781098e-15
4.9089,0.7,0.0,0.0,0.0,-23.371522903442383,0.009785155765712261,-37.973480224609375,6.277643203735352,-0.01303233951330185,-25.881494522094727,0.0002043847634922713,-0.15538562834262848,-4.742232704302296e-05,-0.9878538250923157,-3.025197229360047e-16,4.324945824109132e-14,8.468036554354786e-15
