step,kf_reg,h_cv,h_build,h_neutral,h_dissolve,h_total,avg_cos_b,avg_cos_d,h_build_ids,h_dissolve_ids,l_cv,l_build,l_neutral,l_dissolve,l_total,l_avg_cos_b,l_avg_cos_d
3000,60,2.334251e-02,9,0,3,12,0.000001,-0.000005,0;1;3;4;5;6;7;8;9,2;10;11,2.910326e-02,6,0,6,12,0.000051,-0.000003
3050,61,2.478013e-02,4,0,8,12,0.000002,-0.000001,0;6;8;10,1;2;3;4;5;7;9;11,3.202884e-02,5,0,7,12,0.000010,-0.000012
3100,62,2.218426e-02,7,0,5,12,0.000001,-0.000001,0;1;3;6;7;8;10,2;4;5;9;11,2.846148e-02,8,0,4,12,0.000006,-0.000063
3150,63,2.569748e-02,7,0,5,12,0.000003,-0.000001,0;1;3;4;9;10;11,2;5;6;7;8,3.140843e-02,8,0,4,12,0.000004,-0.000013
3200,64,2.914273e-02,6,0,6,12,0.000004,-0.000001,1;4;7;9;10;11,0;2;3;5;6;8,3.272482e-02,9,0,3,12,0.000009,-0.000009
3250,65,3.037761e-02,6,0,6,12,0.000002,-0.000001,1;4;5;6;7;10,0;2;3;8;9;11,3.980744e-02,4,0,8,12,0.000008,-0.000025
3300,66,2.908261e-02,4,0,8,12,0.000003,-0.000002,2;7;9;11,0;1;3;4;5;6;8;10,3.880992e-02,5,0,7,12,0.000005,-0.000024
3350,67,2.619280e-02,4,0,8,12,0.000002,-0.000002,0;3;7;11,1;2;4;5;6;8;9;10,3.763255e-02,5,0,7,12,0.000008,-0.000028
3400,68,2.666257e-02,5,0,7,12,0.000001,-0.000002,0;2;4;8;10,1;3;5;6;7;9;11,3.757675e-02,4,0,8,12,0.000002,-0.000021
3450,69,2.432207e-02,6,0,6,12,0.000001,-0.000001,3;6;7;8;9;11,0;1;2;4;5;10,3.341290e-02,2,0,10,12,0.000045,-0.000003
3500,70,2.534871e-02,4,0,8,12,0.000001,-0.000001,1;6;8;11,0;2;3;4;5;7;9;10,2.931476e-02,5,0,7,12,0.000043,-0.000002
